num_sum	denom_sum	fst	nSites	pop1	pop2
6380.580468999995	199303.9046999992	0.0320143274593858	10632116	40	41
6784.638963999996	194796.54518799952	0.034829359819765246	10563613	40	42
6973.511027000001	199923.1378989993	0.0348809602544504	10653796	40	43
7560.492937000002	199587.67817199946	0.03788055959288512	10598285	40	97
9184.204116000037	197320.88275699975	0.04654451159794559	10631435	40	7
7396.554420999998	193349.59981899947	0.03825482146290523	10485793	40	23
7642.397114	190890.06319599992	0.04003559423705061	10406781	40	37
7281.701517000003	199144.27793599945	0.036564954777863014	10687925	40	54
6950.278607999999	199905.23804299958	0.03476786639530173	10677157	40	83
6830.640634999998	198901.4993069992	0.03434182577204752	10650471	40	116
4647.945008999971	194860.17527799984	0.023852719019517042	10570287	41	42
4475.362067999975	199806.07439999937	0.02239852858047037	10653935	41	43
6191.0860869999915	200533.81124599933	0.03087302858571439	10597496	41	97
6793.9042240000035	197342.32455299952	0.03442700008418817	10636204	41	7
5127.299223999986	193172.32693999962	0.02654261769902763	10491009	41	23
5586.43499499998	191175.98506900002	0.02922142649341496	10411178	41	37
4979.223210999983	199022.05743599954	0.025018449086233446	10686431	41	54
4330.041062999969	199514.9633659995	0.021702838674093537	10682434	41	83
5004.793469999984	199303.70936699928	0.0251113914833573	10644934	41	116
4923.9534369999765	195330.90713099984	0.02520826585675813	10594658	42	43
6879.296896999997	196207.90020899964	0.03506126353562831	10528771	42	97
7279.651842000006	192863.09076599983	0.037745178785050085	10574280	42	7
5746.44887399999	188943.5970089997	0.030413567672929805	10429331	42	23
5795.533717999981	186652.35737099987	0.031049882249708092	10363006	42	37
5255.439763999984	194296.70545399966	0.027048527414399344	10623383	42	54
5218.083244999979	195420.49972599963	0.02670182121280156	10610834	42	83
5201.941196999984	194601.11712299948	0.026731301823473334	10586205	42	116
5817.4586819999895	200121.84246299946	0.029069583861519664	10616353	43	97
6969.236920000007	197595.22599699962	0.03527026973873261	10660674	43	7
5325.5066359999855	193430.64746699962	0.027531865843071986	10501389	43	23
5838.914542999987	191440.45607100002	0.030499898834520606	10427668	43	37
5033.313712999985	199287.1884319996	0.025256584492973782	10719151	43	54
4854.3317819999775	200267.57258999956	0.02423923014205636	10705459	43	83
4455.224963999982	198827.11106799933	0.022407532554633784	10680413	43	116
8538.754114000023	198099.1398809997	0.04310343860720115	10597786	97	7
6824.488168999995	194115.38595499945	0.03515686371497658	10456951	97	23
7545.628543000003	192271.61828099965	0.039244630125140345	10379022	97	37
6750.457166999998	199913.96359999958	0.03376681170959492	10650302	97	54
6235.311414999992	200552.3320879996	0.031090695132201324	10643658	97	83
5779.92721199999	199111.12093399937	0.029028650860319846	10613639	97	116
7741.493613000003	191136.14779299987	0.040502509349429956	10487765	7	23
8274.78366600002	189068.30351799983	0.04376610733809349	10407123	7	37
7594.43569400001	196976.54661699978	0.03855502507497297	10695841	7	54
6898.566555000002	197353.48905299974	0.034955381777655704	10684668	7	83
7308.830203000005	196970.22896299968	0.037106268503007876	10654287	7	116
6345.854352999986	185295.8668459998	0.03424714463962682	10294143	23	37
5690.049268999993	192238.86686199956	0.02959884939960995	10530755	23	54
5589.753876999986	193407.24544099942	0.02890147090536579	10523728	23	83
5674.866236999991	192811.6569919994	0.029432173995763474	10497250	23	116
6176.573129999987	190217.1957239997	0.03247116069864702	10451206	37	54
5993.529636999988	191372.29551599995	0.03131869020455414	10445995	37	83
6135.146808999988	190713.13626999984	0.032169502998022265	10419082	37	116
5098.426083999982	199272.09936199957	0.02558524801175569	10745679	54	83
5431.039794999992	198706.41772499945	0.02733197979803703	10711265	54	116
5255.6329009999845	199612.7059139995	0.02632915012566537	10699388	83	116
